case,method,init_regime,seed,success,epsilon_initial,epsilon_parameter,epsilon_rayleigh_posthoc,epsilon_exact,rel_error_parameter_percent,rel_error_rayleigh_percent,nodes,nodes_expected,nodal_destination_n,norm_integral,residual_integral,runtime_s
1D n=5,Residual PINN (pointwise),informed_5pct,0,True,247.94453496021825,246.846139504693,246.7550736885617,246.74011002723395,0.04297212862852222,0.0060645435094048745,4,4,5,0.5507876443551836,3.882341928127435,6.636018991470337
1D n=5,Residual PINN (pointwise),informed_5pct,1,True,244.69271005828134,246.20330967980664,246.74043442352848,246.74011002723395,0.21755698632381548,0.00013147286612408108,4,4,5,0.47955978097649243,3.104712632983057,6.391625881195068
1D n=5,Residual PINN (pointwise),informed_5pct,2,True,245.16084753845536,246.4617756202777,246.75193167565124,246.74011002723395,0.1128046862447805,0.004791133640970304,4,4,5,0.4433889899303702,2.8266322521085243,17.733808994293213
1D n=5,Residual PINN (pointwise),informed_5pct,3,True,247.9934980342743,246.8732443288656,246.75362162553384,246.74011002723395,0.053957300098861884,0.0054760445305767754,4,4,5,0.5237702785252255,3.290009288278223,19.18728804588318
1D n=5,Residual PINN (pointwise),informed_5pct,4,True,258.26360941365755,256.4702241523959,246.73195676970593,246.74011002723395,3.943466720545742,0.0033043908131199988,4,4,5,0.0030608088434527854,0.40710993205417,20.27100396156311
1D n=5,Residual PINN (pointwise),informed_5pct,5,True,239.88056647186997,241.75267796483556,246.75149090887055,246.74011002723395,2.021330079591806,0.0046124975932536,4,4,5,0.4516750564575663,13.63240777830125,20.10150384902954
1D n=5,Residual PINN (pointwise),informed_5pct,6,True,256.43354572629744,254.65210266031698,246.7500345578344,246.74011002723395,3.2066098342137175,0.004022260750126108,4,4,5,0.03400995104853486,2.4072603425785535,18.315881967544556
1D n=5,Residual PINN (pointwise),informed_5pct,7,True,236.28593609748427,236.34180283052623,247.46572634454026,246.74011002723395,4.214275172188262,0.29408121655867564,4,4,5,1.1167041431882976e-05,0.11575857777874282,6.259683132171631
1D n=5,Residual PINN (pointwise),informed_5pct,8,True,255.95411122045965,253.83211869076052,246.7517223510356,246.74011002723395,2.8742828487609047,0.0047062975696821555,4,4,5,0.18330469578870057,10.309100871794687,6.319413900375366
1D n=5,Residual PINN (pointwise),informed_5pct,9,True,234.65907651299196,236.68529318561934,246.7384977103035,246.74011002723395,4.0750637747972185,0.0006534474391982207,4,4,5,0.023101277744825562,2.652669849348726,5.944559812545776
1D n=5,Residual PINN (pointwise),informed_5pct,10,True,253.43467856446364,251.64686483767983,246.73867253297155,246.74011002723395,1.9886328209484432,0.000582594480583561,4,4,5,0.29670726086850985,10.714345149322725,6.103129148483276
1D n=5,Residual PINN (pointwise),informed_5pct,11,True,238.85108081267518,240.77395790049823,246.74977891615234,246.74011002723395,2.4179903810844565,0.003918653078867719,4,4,5,0.4310962743795883,20.085910093209478,6.303203105926514
1D n=5,Residual PINN (pointwise),informed_5pct,12,True,238.2069201949594,240.14690911612666,246.75080789122165,246.74011002723395,2.6721236812205214,0.004335680966714557,4,4,5,0.17981460544903338,8.828120714528348,6.038079023361206
1D n=5,Residual PINN (pointwise),informed_5pct,13,True,253.59214236121517,251.76754776945998,246.726037383342,246.74011002723395,2.037543770922013,0.005703427744437982,4,4,5,0.4595996731556477,14.413509796256879,6.089133977890015
1D n=5,Residual PINN (pointwise),informed_5pct,14,True,247.08414824489608,246.73778227659096,246.7521736782316,246.74011002723395,0.0009434018014880908,0.004889213592518406,4,4,5,0.527549928450024,9.60660602585762,6.148538112640381
1D n=5,Residual PINN (pointwise),informed_5pct,15,True,255.34684172758352,253.39163719417965,246.7577369354788,246.74011002723395,2.695762422336415,0.007143916829286545,4,4,5,0.2888042162781744,14.633270442768913,5.701209783554077
1D n=5,Residual PINN (pointwise),informed_5pct,16,True,239.91259106971665,241.76847084911216,246.74532644456326,246.74011002723395,2.014929464679677,0.0021141343127115105,4,4,5,0.20926010102857384,7.516310580494543,5.656336784362793
1D n=5,Residual PINN (pointwise),informed_5pct,17,True,241.67367204429152,243.50476710351765,246.76044386761583,246.74011002723395,1.31123509807919,0.008240995101945977,4,4,5,0.24709083457875963,4.798917144201971,6.178186893463135
1D n=5,Residual PINN (pointwise),informed_5pct,18,True,250.45044572244285,249.07368511480675,246.75365803058617,246.74011002723395,0.9457623599645912,0.005490798942546262,4,4,5,0.21500453586274038,4.097986450276933,5.749068737030029
1D n=5,Residual PINN (pointwise),informed_5pct,19,True,236.80964968857347,238.76217400510006,246.75154012418267,246.74011002723395,3.233335683141798,0.004632443807961772,4,4,5,0.2623858264198362,18.67899103945929,5.619637966156006
1D n=5,Residual PINN (pointwise),wide_100pct,0,False,270.8286086869198,270.634802613878,158.54569950572906,246.74011002723395,9.684154142594267,35.743848258708496,4,4,5,9.268066437159144e-07,0.06540803853875582,5.839279890060425
1D n=5,Residual PINN (pointwise),wide_100pct,1,False,205.79211064818156,205.89467015374956,338.53157262523206,246.74011002723395,16.55403325749351,37.20167855476218,8,4,9,6.86215414484118e-07,0.08255052250823175,6.659313917160034
1D n=5,Residual PINN (pointwise),wide_100pct,2,False,215.15486025166223,215.21160141806874,109.8160857870853,246.74011002723395,12.778023243033026,55.49321682033604,1,4,2,8.878302691958203e-07,0.037782882028166265,6.815110206604004
1D n=5,Residual PINN (pointwise),wide_100pct,3,False,271.8078701680409,271.3745583143747,182.32989911003315,246.74011002723395,9.983965835316253,26.10447523513365,4,4,5,5.561129306748515e-07,0.04114340644763311,6.950019836425781
1D n=5,Residual PINN (pointwise),wide_100pct,4,False,477.2100977557058,476.6946701117682,453.16390566425616,246.74011002723395,93.19707284687235,83.66041322354852,6,4,7,1.0016797016584709e-05,0.14338826702854857,6.906001806259155
1D n=5,Residual PINN (pointwise),wide_100pct,5,False,109.54923891995378,109.97272328323125,547.0126071099602,246.74011002723395,55.429734034286916,121.69585927864894,8,4,9,4.0983160241687277e-07,0.1054958007885233,6.595091104507446
1D n=5,Residual PINN (pointwise),wide_100pct,6,False,440.60882400850363,439.97600870670766,130.92662108643876,246.74011002723395,78.31555990558053,46.93743912492066,3,4,4,1.2343547636835328e-06,0.1588157303226484,6.5833470821380615
1D n=5,Residual PINN (pointwise),wide_100pct,7,False,37.6566314322404,39.02360117627587,39.48070975829172,246.74011002723395,84.18433015533282,83.99907102500114,1,4,2,0.9897725857868307,1.5867858572662565,6.092813968658447
1D n=5,Residual PINN (pointwise),wide_100pct,8,False,431.02013389174795,430.39720145505623,63.356476114316756,246.74011002723395,74.43341555110399,74.3225873947597,4,4,5,8.955537066148118e-07,0.13550373433634236,5.9629082679748535
1D n=5,Residual PINN (pointwise),wide_100pct,9,False,5.119439742394127,6.918622217485165,9.869815085494952,246.74011002723395,97.19598803100091,95.99991461282659,0,4,1,0.9563103000234795,8.443321597814066,6.065602779388428
1D n=5,Residual PINN (pointwise),wide_100pct,10,False,380.63148077182757,380.3022553559974,96.40600798134403,246.74011002723395,54.13069861808098,60.92811664439024,1,4,2,4.282486689531228e-07,0.04662760987656313,6.175854206085205
1D n=5,Residual PINN (pointwise),wide_100pct,11,False,88.95952573605852,88.83089881525196,88.82870556637798,246.74011002723395,63.99819275210372,63.99908164239146,2,4,3,0.9838758011855518,1.603252967301316,6.113554954528809
1D n=5,Residual PINN (pointwise),wide_100pct,12,False,76.07631338174298,78.2104976978402,88.82890812490471,246.74011002723395,68.30247919999398,63.99899954851272,2,4,3,0.3196103938173974,36.59717049590611,5.960677862167358
1D n=5,Residual PINN (pointwise),wide_100pct,13,False,383.78075670685894,383.3596703443089,390.20893206608315,246.74011002723395,55.36982224008716,58.145723458992464,4,4,5,6.863408233422276e-07,0.19528082699305033,6.091181039810181
1D n=5,Residual PINN (pointwise),wide_100pct,14,True,253.62087438047624,251.85881106296372,246.72751375282786,246.74011002723395,2.074531390605603,0.005105077729236027,4,4,5,0.3765949007498806,12.462238913153396,6.054897785186768
1D n=5,Residual PINN (pointwise),wide_100pct,15,False,418.87474403422493,418.5313654948747,183.4904494146111,246.74011002723395,69.62437337353838,25.63412191298839,5,4,6,5.131518901666261e-07,0.057325843892783085,6.040914058685303
1D n=5,Residual PINN (pointwise),wide_100pct,16,False,110.18973087688796,110.77995964986145,560.8014005366573,246.74011002723395,55.10257345770247,127.28424676261949,7,4,8,1.9585446468288176e-07,0.04970380587079246,6.082667112350464
1D n=5,Residual PINN (pointwise),wide_100pct,17,False,145.41135036838529,147.58499970706103,157.92395454074483,246.74011002723395,40.18605256730601,35.995832001811955,3,4,4,0.22021214594462607,24.473725605121686,6.115389108657837
1D n=5,Residual PINN (pointwise),wide_100pct,18,False,320.9468239314114,320.5572110555314,42.35797009631154,246.74011002723395,29.91694419693251,82.83296133261987,3,4,4,5.626687109719434e-07,0.048030370880503034,6.793653964996338
1D n=5,Residual PINN (pointwise),wide_100pct,19,False,48.130903254024204,46.58367379952495,39.49759955825949,246.74011002723395,81.1203481288943,83.99222584690429,1,4,2,0.7323139879511977,45.961119125000806,6.694343090057373
1D n=5,Residual PINN (pointwise),misleading_n1,0,False,9.91778139840873,9.87002179326195,9.869792438547224,246.74011002723395,95.99983083732413,95.99992379128881,0,4,1,1.0000362130318108,0.13501181799967615,6.6913111209869385
1D n=5,Residual PINN (pointwise),misleading_n1,1,False,9.787708402331253,9.869847047040956,9.869693611671162,246.74011002723395,95.99990165929991,95.99996384431303,0,4,1,1.0000559005104521,0.11654519683536166,6.537240743637085
1D n=5,Residual PINN (pointwise),misleading_n1,2,False,9.806433901538215,9.869908224959147,9.869850630061304,246.74011002723395,95.99987686482358,95.99990020715646,0,4,1,0.9998270236746234,0.17962200639682585,6.551905870437622
1D n=5,Residual PINN (pointwise),misleading_n1,3,False,9.919739921370972,9.869886766968536,9.869608071930147,246.74011002723395,95.9998855614196,95.99999851226427,0,4,1,1.000015798055394,0.058781834045237645,6.78590989112854
1D n=5,Residual PINN (pointwise),misleading_n1,4,False,10.330544376546303,9.869818656117255,9.869779364939184,246.74011002723395,95.99991316570788,95.99992908982256,0,4,1,0.9993425508874179,0.13740987200066726,6.999505043029785
1D n=5,Residual PINN (pointwise),misleading_n1,5,False,9.595222658874798,9.869871860249475,9.869733883568165,246.74011002723395,95.99989160288528,95.99994752272794,0,4,1,0.9996656660217405,0.13023457243082842,6.844194173812866
1D n=5,Residual PINN (pointwise),misleading_n1,6,False,10.257341829051896,9.870006673533023,9.869934115391809,246.74011002723395,95.99983696511946,95.99986637182646,0,4,1,1.000153762194186,0.2166380111576534,6.59607195854187
1D n=5,Residual PINN (pointwise),misleading_n1,7,False,9.451437443899371,9.870040875698233,9.869712995326317,246.74011002723395,95.999823103504,95.9999559884135,0,4,1,1.0006405567834462,0.2675650372425289,6.517709970474243
1D n=5,Residual PINN (pointwise),misleading_n1,8,False,10.238164448818386,9.870230548278403,9.87062345251111,246.74011002723395,95.9997462321027,95.99958699401503,0,4,1,0.9998422403083631,0.6726917041275142,6.56526780128479
1D n=5,Residual PINN (pointwise),misleading_n1,9,False,9.38636306051968,9.869875865763595,9.869937832334685,246.74011002723395,95.99988997951156,95.99986486540624,0,4,1,0.9998654573586473,0.20558272992931811,6.515007019042969
1D n=5,Residual PINN (pointwise),misleading_n1,10,False,10.137387142578545,9.869784396435561,9.869651321800738,246.74011002723395,95.99992705063389,95.99998098375194,0,4,1,0.9997646816497552,0.0823310643316049,6.6299378871917725
1D n=5,Residual PINN (pointwise),misleading_n1,11,False,9.554043232507007,9.869893532677388,9.869730853871376,246.74011002723395,95.99988281938109,95.9999487506178,0,4,1,0.9996387618577716,0.11194581572656734,6.712983846664429
1D n=5,Residual PINN (pointwise),misleading_n1,12,False,9.528276807798376,9.869810369039296,9.869685613861218,246.74011002723395,95.99991652433407,95.99996708570332,0,4,1,1.0002035069279676,0.08693668285666056,6.405379056930542
1D n=5,Residual PINN (pointwise),misleading_n1,13,False,10.143685694448607,9.870003551305702,9.870096506108512,246.74011002723395,95.99983823051052,95.99980055734792,0,4,1,0.999974681902849,0.3564167041383976,6.116989850997925
1D n=5,Residual PINN (pointwise),misleading_n1,14,False,9.883365929795843,9.870036211521752,9.86961866124041,246.74011002723395,95.99982499382352,95.99999422057846,0,4,1,0.999939465033047,0.07787762998215172,5.735712051391602
1D n=5,Residual PINN (pointwise),misleading_n1,15,False,10.213873669103341,9.87027355696372,9.870485635422629,246.74011002723395,95.99972880133907,95.99964284917715,0,4,1,0.9990858765318543,0.5055593383549433,5.577648162841797
1D n=5,Residual PINN (pointwise),misleading_n1,16,False,9.596503642788665,9.86976383400164,9.869713102191392,246.74011002723395,95.99993538427447,95.99995594510273,0,4,1,0.9998261186937253,0.08617161769126164,5.503951072692871
1D n=5,Residual PINN (pointwise),misleading_n1,17,False,9.666946881771661,9.869866420780815,9.869770477821932,246.74011002723395,95.99989380741889,95.99993269163552,0,4,1,0.9993086620232778,0.2265648035232088,5.528652906417847
1D n=5,Residual PINN (pointwise),misleading_n1,18,False,10.018017828897714,9.869851417606473,9.869747403956703,246.74011002723395,95.99989988797643,95.99994204312087,0,4,1,0.9998569444414628,0.13382561470737425,6.105948209762573
1D n=5,Residual PINN (pointwise),misleading_n1,19,False,9.472385987542939,9.869884407408984,9.869765529082757,246.74011002723395,95.99988651771307,95.99993469728395,0,4,1,1.0001569776232362,0.15585951999639486,5.641410827636719
