case,method,seed,success,energy,exact,rel_error_percent,max_rel_error_percent,nodes,nodes_expected,subspace_weight,parity_score,runtime_s,failure_mode
1D n=5,residual,0,False,88.83663394710068,246.74011002723395,63.99586839071469,63.99586839071469,2.0,4.0,,,1.3624718189239502,wrong nodes/lower-state collapse
1D n=5,penalty,0,False,9.874242859826753,246.74011002723395,95.9981201034818,95.9981201034818,0.0,4.0,,,0.8705520629882812,wrong nodes/lower-state collapse
1D n=5,projection,0,False,245.223933615039,246.74011002723395,0.6144831547767479,0.6144831547767479,4.0,4.0,,,1.541287899017334,energy error
disk m=1,state_by_state,0,False,15.596429152330483,14.681970642123895,6.228445298636711,6.228445298636711,,,0.986760192175562,,3.602656126022339,energy error
disk m=1,subspace_ritz,0,False,11.464824167550782,14.681970642123895,31.673595930546778,31.673595930546778,,,9.12331209650551e-05,,9.86507797241211,low subspace weight
ellipse split,generic_subspace,0,False,,,31.241916418568916,65.68395859088668,,,,0.0,31.723137140274048,branch drift/missing parity sector
ellipse split,symmetry_sectors,0,False,,,22.272780013358933,63.002838355280126,,,,0.8,41.53730607032776,branch drift/missing parity sector
1D n=5,residual,1,False,9.869604747277506,246.74011002723395,95.99999985969521,95.99999985969521,0.0,4.0,,,1.5391900539398193,wrong nodes/lower-state collapse
1D n=5,penalty,1,False,9.869439386021996,246.74011002723395,96.00006687808776,96.00006687808776,0.0,4.0,,,1.0264291763305664,wrong nodes/lower-state collapse
1D n=5,projection,1,False,244.74282642855997,246.74011002723395,0.8094685531483057,0.8094685531483057,4.0,4.0,,,1.812958002090454,energy error
disk m=1,state_by_state,1,False,15.895761448848091,14.681970642123895,8.267219955076884,8.267219955076884,,,0.9888739956474057,,5.056781053543091,energy error
disk m=1,subspace_ritz,1,False,11.133715448736629,14.681970642123895,37.70878949635696,37.70878949635696,,,0.0015199201825693916,,10.714056968688965,low subspace weight
ellipse split,generic_subspace,1,False,,,30.84100227451454,67.60081069351902,,,,0.0,33.15035915374756,branch drift/missing parity sector
ellipse split,symmetry_sectors,1,False,,,32.21068271058317,71.41974274391298,,,,0.6,62.368186235427856,branch drift/missing parity sector
1D n=5,residual,2,False,9.869605421616283,246.74011002723395,95.99999958639602,95.99999958639602,0.0,4.0,,,2.524019956588745,wrong nodes/lower-state collapse
1D n=5,penalty,2,False,9.869177919012149,246.74011002723395,96.00017284667547,96.00017284667547,0.0,4.0,,,1.610576868057251,wrong nodes/lower-state collapse
1D n=5,projection,2,False,245.1116087162725,246.74011002723395,0.6600067215588474,0.6600067215588474,4.0,4.0,,,2.6667282581329346,energy error
disk m=1,state_by_state,2,False,16.04352963048221,14.681970642123895,9.273680090681298,9.273680090681298,,,0.9884445863300707,,5.944983005523682,energy error
disk m=1,subspace_ritz,2,False,11.476390660010937,14.681970642123895,33.63667831571897,33.63667831571897,,,0.001427844465865752,,14.370913982391357,low subspace weight
ellipse split,generic_subspace,2,False,,,32.34876016858388,68.03443438350368,,,,0.0,25.397825002670288,branch drift/missing parity sector
ellipse split,symmetry_sectors,2,False,,,29.62139939723823,48.94727104158976,,,,0.4,37.75942897796631,branch drift/missing parity sector
1D n=5,residual,3,False,9.869607486420154,246.74011002723395,95.99999874956252,95.99999874956252,0.0,4.0,,,1.3045680522918701,wrong nodes/lower-state collapse
1D n=5,penalty,3,False,9.869411108078467,246.74011002723395,96.00007833870661,96.00007833870661,0.0,4.0,,,0.912938117980957,wrong nodes/lower-state collapse
1D n=5,projection,3,False,245.24110591963347,246.74011002723395,0.6075234818672293,0.6075234818672293,4.0,4.0,,,1.5573439598083496,energy error
disk m=1,state_by_state,3,False,15.898786535303982,14.681970642123895,8.287824045151899,8.287824045151899,,,0.9881021934641261,,3.7183139324188232,energy error
disk m=1,subspace_ritz,3,False,11.13057096391245,14.681970642123895,45.36790948787002,45.36790948787002,,,0.0009730597319548717,,8.268599033355713,low subspace weight
ellipse split,generic_subspace,3,False,,,31.12398138742709,63.4831179559285,,,,0.0,23.720386743545532,branch drift/missing parity sector
