rank,m,radial_index,bessel_zero,epsilon,degeneracy
1,0,1,2.404825557696,5.783185962947,1
2,1,1,3.831705970208,14.681970642124,2
3,2,1,5.135622301841,26.374616427163,2
4,0,2,5.520078110286,30.471262343662,1
5,3,1,6.380161895924,40.706465818200,2
6,1,2,7.015586669816,49.218456321695,2
7,4,1,7.588342434504,57.582940903291,2
8,2,2,8.417244140400,70.849998919096,2
9,0,3,8.653727912911,74.887006790695,1
10,3,2,9.761023129982,95.277572544037,2
11,1,3,10.173468135063,103.499453895137,2
12,4,2,11.064709488501,122.427796064928,2
13,2,3,11.619841172149,135.020708865970,2
14,3,3,13.015200721698,169.395449826099,2
15,4,3,14.372536671618,206.569810376992,2
