eta,grid_size,interior_points,E2_FD,E3_FD,delta_E2_percent_vs_previous_grid,delta_E3_percent_vs_previous_grid,delta_percent_vs_previous_grid
0.8,101,7828,16.512140678784935,20.58193723024556,,,
0.8,151,17647,16.572096906326678,20.648922806629848,0.3631039046244081,0.32545807343076627,0.3631039046244081
0.8,201,31400,16.59591528736716,20.686728747218833,0.1437258131853442,0.1830891661663168,0.1830891661663168
0.9,101,7828,15.349390473223542,17.05364916832223,,,
0.9,151,17648,15.405603407760578,17.10402886623471,0.3662225847671151,0.29541887144049744,0.3662225847671151
0.9,201,31400,15.428111524405754,17.136850555157107,0.1461034407379137,0.19189448976662105,0.19189448976662105
1.0,101,7825,14.512857825778887,14.512857825780694,,,
1.0,151,17647,14.55570707482641,14.557505415513772,0.29525025023955165,0.30764161179726895,0.30764161179726895
1.0,201,31397,14.581423061018755,14.58142306102626,0.17667287518323588,0.16429769270083866,0.17667287518323588
1.1,101,7825,12.619688238711355,13.876875775218803,,,
1.1,151,17647,12.657478970976975,13.91942989956102,0.29945852505052745,0.3066549346662752,0.3066549346662752
1.1,201,31397,12.679302234749434,13.942632712203043,0.17241398403662458,0.16669369945068124,0.17241398403662458
1.2,101,7825,11.171859210232538,13.384233958727753,,,
1.2,151,17647,11.206222488410116,13.424759927180906,0.30758781981519906,0.30278885275108525,0.30758781981519906
1.2,201,31397,11.224806461677657,13.44792874562837,0.1658361975836284,0.17258273945409625,0.17258273945409625
