eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.85,2,2,0.9973887283994831,0.0003115664829763626
0.82,0.85,2,3,0.002609048606866943,0.0006378495910199138
0.82,0.85,3,2,0.0026089876306806628,0.005455265393730484
0.82,0.85,3,3,0.9973871854738542,1.5951889143952203e-06
0.85,0.8799999999999999,2,2,0.9956699741564078,0.0027079011395786754
0.85,0.8799999999999999,2,3,0.00432789471632366,0.017302001984076557
0.85,0.8799999999999999,3,2,0.004327800486262447,0.016713157254812486
0.85,0.8799999999999999,3,3,0.9956684984579096,0.002310104526021775
0.8799999999999999,0.9099999999999999,2,2,0.992906609207116,0.0010639774051654674
0.8799999999999999,0.9099999999999999,2,3,0.007091306885221067,0.0010615394477106108
0.8799999999999999,0.9099999999999999,3,2,0.007091163854248067,0.0067081949476518205
0.8799999999999999,0.9099999999999999,3,3,0.9929053070975247,0.008408952918690754
0.9099999999999999,0.94,2,2,0.9891124707116165,0.005547209590608957
0.9099999999999999,0.94,2,3,0.010885432424796894,0.0034342437497462157
0.9099999999999999,0.94,3,2,0.010885227264406206,0.001230733730458354
0.9099999999999999,0.94,3,3,0.9891114756351544,0.0042364835054536955
0.94,0.97,2,2,0.9855230657182013,0.00888196260595221
0.94,0.97,2,3,0.014474751878501653,0.0020599849518814274
0.94,0.97,3,2,0.014474489463851414,0.00597297925488136
0.94,0.97,3,3,0.9855225162035168,0.0027928549951042087
0.97,1.0,2,2,0.984526385050164,0.014776366270999158
0.97,1.0,2,3,0.015471281432471163,0.013948990855225054
0.97,1.0,3,2,0.015470998260037129,0.023887216003249383
0.97,1.0,3,3,0.9845263726763059,0.014183820888745459
1.0,1.03,2,2,0.9869747453168519,0.005138994350150532
1.0,1.03,2,3,0.013022744069747483,0.006583867841222535
1.0,1.03,3,2,0.013022490065221805,0.000349353362078278
1.0,1.03,3,3,0.9869752679400278,0.0017891173126685204
1.03,1.06,2,2,0.9909129780139384,0.0005856187384088906
1.03,1.06,2,3,0.009084361205579499,0.0035751294254970046
1.03,1.06,3,2,0.009084164398253592,0.005942810607029445
1.03,1.06,3,3,0.9909139486348906,1.9258420141886418e-05
1.06,1.0899999999999999,2,2,0.9942941814972924,0.02706663843030826
1.06,1.0899999999999999,2,3,0.005703064422960313,0.030554156469328908
1.06,1.0899999999999999,3,2,0.005702924298006744,0.001206174019398978
1.06,1.0899999999999999,3,3,0.994295481009624,0.009283648078141441
1.0899999999999999,1.1199999999999999,2,2,0.9965469300439725,0.0010943915053754523
1.0899999999999999,1.1199999999999999,2,3,0.003450279665611571,0.014152572328784013
1.0899999999999999,1.1199999999999999,3,2,0.0034501831631694106,0.011059952104021087
1.0899999999999999,1.1199999999999999,3,3,0.996548450805941,0.05051692527627978
1.1199999999999999,1.15,2,2,0.9979023843089103,0.0011370182226059838
1.1199999999999999,1.15,2,3,0.002094833181594545,0.008630541169024218
1.1199999999999999,1.15,3,2,0.0020947669232342318,0.0019397884596613999
1.1199999999999999,1.15,3,3,0.9979040446663916,0.00024944549698728617
1.15,1.18,2,2,0.9986961193528513,0.004020025782871174
1.15,1.18,2,3,0.0013011361132802982,0.005793061259935339
1.15,1.18,3,2,0.0013010901212254919,0.019447507331437523
1.15,1.18,3,3,0.9986978614136985,0.00078762186170909
