eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.865,2,2,0.9935399029428396,0.8937992007141892
0.82,0.865,2,3,0.0064556058127163,0.020862781721077455
0.82,0.865,3,2,0.006455401234637462,0.05691825884297477
0.82,0.865,3,3,0.9935366681307539,0.8088771722484714
0.865,0.9099999999999999,2,2,0.9859220753688192,0.8550618081363348
0.865,0.9099999999999999,2,3,0.014073687016186977,0.03825914644552759
0.865,0.9099999999999999,3,2,0.014073290325356657,0.019896593863240945
0.865,0.9099999999999999,3,3,0.9859192024687693,0.9205169830762107
0.9099999999999999,0.955,2,2,0.9725700124119878,0.03091481559344858
0.9099999999999999,0.955,2,3,0.027425757845669037,0.0006119490747889493
0.9099999999999999,0.955,3,2,0.02742506357562194,0.0524323699722103
0.9099999999999999,0.955,3,3,0.9725680995941771,0.9316938939100837
0.955,1.0,2,2,0.9631129291802838,0.7305422705116762
0.955,1.0,2,3,0.036882503964362,0.113579064169178
0.955,1.0,3,2,0.03688159868671113,0.07757462071994892
0.955,1.0,3,3,0.9631125704173087,0.8625944836499407
1.0,1.045,2,2,0.9710989761047738,0.10299766853909254
1.0,1.045,2,3,0.028895880259760285,0.005841909491757248
1.0,1.045,3,2,0.028895103639730423,0.0028143347592323583
1.0,1.045,3,3,0.9711002932218907,0.9820474548898316
1.045,1.0899999999999999,2,2,0.984777947870909,0.07688432142722712
1.045,1.0899999999999999,2,3,0.015216452956298743,0.011411303220168612
1.045,1.0899999999999999,3,2,0.015215964721797707,0.19655782431382038
1.045,1.0899999999999999,3,3,0.9847805142930465,0.7962695389323988
1.0899999999999999,1.135,2,2,0.9929783806447116,0.3056322084221691
1.0899999999999999,1.135,2,3,0.007015855222296967,0.13723219916072066
1.0899999999999999,1.135,3,2,0.007015580938108695,0.03307796785984138
1.0899999999999999,1.135,3,3,0.9929816603302342,0.8563515745197905
1.135,1.18,2,2,0.9966934119249019,0.7640857419381707
1.135,1.18,2,3,0.003300875005702919,0.0104154915090683
1.135,1.18,3,2,0.0033007206048845956,0.00788152747766858
1.135,1.18,3,3,0.9966970338355334,0.9834997050270528
