eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.85,2,2,0.9973656561415387,0.9960835248641013
0.82,0.85,2,3,0.0026320772732384185,0.00391604571537255
0.82,0.85,3,2,0.0026320145731653973,0.003915995018157097
0.82,0.85,3,3,0.9973640923022268,0.9960831475991905
0.85,0.8799999999999999,2,2,0.9956480839019591,0.9915941588655838
0.85,0.8799999999999999,2,3,0.004349742333864852,0.00840120667684648
0.85,0.8799999999999999,3,2,0.004349645707280268,0.008398092987741773
0.85,0.8799999999999999,3,3,0.9956465900863456,0.9915436764850423
0.8799999999999999,0.9099999999999999,2,2,0.9929074843689515,0.9878762792488968
0.8799999999999999,0.9099999999999999,2,3,0.0070903891750384584,0.01210927017986378
0.8799999999999999,0.9099999999999999,3,2,0.007090243066795336,0.012100764634256815
0.8799999999999999,0.9099999999999999,3,3,0.9929061687003824,0.9878066611589519
0.9099999999999999,0.94,2,2,0.9891829567248263,0.9978202244647103
0.9099999999999999,0.94,2,3,0.010814903089801157,0.002161395249932397
0.9099999999999999,0.94,3,2,0.010814694504260544,0.002158561047621754
0.9099999999999999,0.94,3,3,0.9891819540256653,0.9977888126173647
0.94,0.97,2,2,0.985706818153382,0.9878762138147682
0.94,0.97,2,3,0.014290954850119698,0.012123685302098203
0.94,0.97,3,2,0.01429068929138815,0.012123661124102693
0.94,0.97,3,3,0.9857062672767953,0.9878761605220602
0.97,1.0,2,2,0.9847827256817415,0.9829575937914445
0.97,1.0,2,3,0.01521489510738031,0.017042213164071462
0.97,1.0,3,2,0.0152146093640072,0.017042168001276264
0.97,1.0,3,3,0.984782717505091,0.9829576121026503
1.0,1.03,2,2,0.987192070204448,0.9919420463273133
1.0,1.03,2,3,0.012805372882292292,0.008056043956474412
1.0,1.03,3,2,0.012805116572868407,0.008056050019678835
1.0,1.03,3,3,0.9871926018149912,0.9919433985504336
1.03,1.06,2,2,0.9910378861457286,0.9892708058986648
1.03,1.06,2,3,0.008959406372591747,0.010727422833913388
1.03,1.06,3,2,0.008959207314661424,0.010727467269242395
1.03,1.06,3,3,0.9910388702408838,0.9892719839114177
1.06,1.0899999999999999,2,2,0.9943485649451392,0.9947225707244816
1.06,1.0899999999999999,2,3,0.0056486338801663965,0.005277383077758415
1.06,1.0899999999999999,3,2,0.005648491682342288,0.005277383987931273
1.06,1.0899999999999999,3,3,0.9943498821612241,0.9947225512272168
1.0899999999999999,1.1199999999999999,2,2,0.9965654942916408,0.9982315892555457
1.0899999999999999,1.1199999999999999,2,3,0.0034316680716572007,0.001768010184572081
1.0899999999999999,1.1199999999999999,3,2,0.003431569820720495,0.0017680689104349941
1.0899999999999999,1.1199999999999999,3,3,0.9965670364260591,0.9982301752329218
1.1199999999999999,1.15,2,2,0.997906214998027,0.9992185032147102
1.1199999999999999,1.15,2,3,0.0020909551893782403,0.0007695817364991739
1.1199999999999999,1.15,3,2,0.0020908875398961287,0.0007707327918280298
1.1199999999999999,1.15,3,3,0.9979078996369676,0.9991906053659849
1.15,1.18,2,2,0.9986947646793198,0.996888046614748
1.15,1.18,2,3,0.0013024438540421893,0.003098578004031495
1.15,1.18,3,2,0.0013023967872420365,0.003101044860586379
1.15,1.18,3,3,0.9986965331735403,0.9968569985876432
