eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.85,2,2,0.9973656561415387,0.9970907004567136
0.82,0.85,2,3,0.0026320772732384185,0.0028899659358332507
0.82,0.85,3,2,0.0026320145731653973,0.0028922683344793773
0.82,0.85,3,3,0.9973640923022268,0.9970631973853152
0.85,0.8799999999999999,2,2,0.9956480839019591,0.9955071085631827
0.85,0.8799999999999999,2,3,0.004349742333864852,0.004487982125461231
0.85,0.8799999999999999,3,2,0.004349645707280268,0.0044882456834191495
0.85,0.8799999999999999,3,3,0.9956465900863456,0.9954811189988214
0.8799999999999999,0.9099999999999999,2,2,0.9929074843689515,0.9189703245640425
0.8799999999999999,0.9099999999999999,2,3,0.0070903891750384584,0.06966885007049216
0.8799999999999999,0.9099999999999999,3,2,0.007090243066795336,0.06643531090176162
0.8799999999999999,0.9099999999999999,3,3,0.9929061687003824,0.9196921850861306
0.9099999999999999,0.94,2,2,0.9891829567248263,0.9672387197516238
0.9099999999999999,0.94,2,3,0.010814903089801157,0.0025050898192046636
0.9099999999999999,0.94,3,2,0.010814694504260544,0.003875433745295302
0.9099999999999999,0.94,3,3,0.9891819540256653,0.9843716179960226
0.94,0.97,2,2,0.985706818153382,0.7509593869203705
0.94,0.97,2,3,0.014290954850119698,0.23622277609919265
0.94,0.97,3,2,0.01429068929138815,0.24220127352891574
0.94,0.97,3,3,0.9857062672767953,0.7564462007887605
0.97,1.0,2,2,0.9847827256817415,0.984872258978835
0.97,1.0,2,3,0.01521489510738031,0.01512682812602917
0.97,1.0,3,2,0.0152146093640072,0.015126863279833896
0.97,1.0,3,3,0.984782717505091,0.9848436039393962
1.0,1.03,2,2,0.987192070204448,0.9874545820639318
1.0,1.03,2,3,0.012805372882292292,0.012540501814226945
1.0,1.03,3,2,0.012805116572868407,0.012539816847011083
1.0,1.03,3,3,0.9871926018149912,0.9874422567802204
1.03,1.06,2,2,0.9910378861457286,0.9912683535561843
1.03,1.06,2,3,0.008959406372591747,0.008726569933430774
1.03,1.06,3,2,0.008959207314661424,0.00872520212236496
1.03,1.06,3,3,0.9910388702408838,0.9912524182645288
1.06,1.0899999999999999,2,2,0.9943485649451392,0.3751434316080529
1.06,1.0899999999999999,2,3,0.0056486338801663965,0.620656986060349
1.06,1.0899999999999999,3,2,0.005648491682342288,0.6105823547458009
1.06,1.0899999999999999,3,3,0.9943498821612241,0.37618325603501895
1.0899999999999999,1.1199999999999999,2,2,0.9965654942916408,0.9702573251641716
1.0899999999999999,1.1199999999999999,2,3,0.0034316680716572007,0.005112142121791967
1.0899999999999999,1.1199999999999999,3,2,0.003431569820720495,0.006018241211370996
1.0899999999999999,1.1199999999999999,3,3,0.9965670364260591,0.9903326779492201
1.1199999999999999,1.15,2,2,0.997906214998027,0.28361875491801275
1.1199999999999999,1.15,2,3,0.0020909551893782403,0.7007374555318069
1.1199999999999999,1.15,3,2,0.0020908875398961287,0.7139587878656724
1.1199999999999999,1.15,3,3,0.9979078996369676,0.2848197426487545
1.15,1.18,2,2,0.9986947646793198,0.9263109691593024
1.15,1.18,2,3,0.0013024438540421893,0.059214396426351214
1.15,1.18,3,2,0.0013023967872420365,0.058060618342749004
1.15,1.18,3,3,0.9986965331735403,0.9370361057496691
