eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.85,2,2,0.9973656561415387,0.9973038347770526
0.82,0.85,2,3,0.0026320772732384185,0.0026961652229074424
0.82,0.85,3,2,0.0026320145731653973,0.0026961652229074646
0.82,0.85,3,3,0.9973640923022268,0.9973038347770529
0.85,0.8799999999999999,2,2,0.9956480839019591,0.9955909328555206
0.85,0.8799999999999999,2,3,0.004349742333864852,0.004409067144439361
0.85,0.8799999999999999,3,2,0.004349645707280268,0.004409067144439395
0.85,0.8799999999999999,3,3,0.9956465900863456,0.995590932855521
0.8799999999999999,0.9099999999999999,2,2,0.9929074843689515,0.9929156681690998
0.8799999999999999,0.9099999999999999,2,3,0.0070903891750384584,0.007084331830860337
0.8799999999999999,0.9099999999999999,3,2,0.007090243066795336,0.007084331830860384
0.8799999999999999,0.9099999999999999,3,3,0.9929061687003824,0.9929156681690998
0.9099999999999999,0.94,2,2,0.9891829567248263,0.9893832798353384
0.9099999999999999,0.94,2,3,0.010814903089801157,0.010616720164622036
0.9099999999999999,0.94,3,2,0.010814694504260544,0.010616720164622093
0.9099999999999999,0.94,3,3,0.9891819540256653,0.9893832798353384
0.94,0.97,2,2,0.985706818153382,0.9862111336560997
0.94,0.97,2,3,0.014290954850119698,0.013788866343860489
0.94,0.97,3,2,0.01429068929138815,0.013788866343860555
0.94,0.97,3,3,0.9857062672767953,0.9862111336560999
0.97,1.0,2,2,0.9847827256817415,0.9854777315502631
0.97,1.0,2,3,0.01521489510738031,0.014522268449697305
0.97,1.0,3,2,0.0152146093640072,0.014522268449697395
0.97,1.0,3,3,0.984782717505091,0.9854777315502631
1.0,1.03,2,2,0.987192070204448,0.987783880740812
1.0,1.03,2,3,0.012805372882292292,0.012216119259148133
1.0,1.03,3,2,0.012805116572868407,0.012216119259148228
1.0,1.03,3,3,0.9871926018149912,0.9877838807408122
1.03,1.06,2,2,0.9910378861457286,0.99138494382612
1.03,1.06,2,3,0.008959406372591747,0.008615056173840398
1.03,1.06,3,2,0.008959207314661424,0.00861505617384047
1.03,1.06,3,3,0.9910388702408838,0.99138494382612
1.06,1.0899999999999999,2,2,0.9943485649451392,0.994505666590521
1.06,1.0899999999999999,2,3,0.0056486338801663965,0.0054943334094394326
1.06,1.0899999999999999,3,2,0.005648491682342288,0.005494333409439482
1.06,1.0899999999999999,3,3,0.9943498821612241,0.994505666590521
1.0899999999999999,1.1199999999999999,2,2,0.9965654942916408,0.9966237811735043
1.0899999999999999,1.1199999999999999,2,3,0.0034316680716572007,0.003376218826455949
1.0899999999999999,1.1199999999999999,3,2,0.003431569820720495,0.003376218826455983
1.0899999999999999,1.1199999999999999,3,3,0.9965670364260591,0.9966237811735045
1.1199999999999999,1.15,2,2,0.997906214998027,0.997922600715008
1.1199999999999999,1.15,2,3,0.0020909551893782403,0.002077399284951779
1.1199999999999999,1.15,3,2,0.0020908875398961287,0.002077399284951809
1.1199999999999999,1.15,3,3,0.9979078996369676,0.9979226007150085
1.15,1.18,2,2,0.9986947646793198,0.9986957145121338
1.15,1.18,2,3,0.0013024438540421893,0.0013042854878265852
1.15,1.18,3,2,0.0013023967872420365,0.0013042854878266112
1.15,1.18,3,3,0.9986965331735403,0.9986957145121338
