eta,pinn_rank,exact_label,nx,ny,overlap,overlap_weight
0.8,1,psi_11,1,1,0.999977707862854,0.9999554162226474
0.8,1,psi_21,2,1,-4.142617035540752e-05,1.716127590315245e-09
0.8,1,psi_12,1,2,-2.420041710138321e-06,5.856601878809209e-12
0.8,1,psi_22,2,2,-0.001994570717215538,3.978312345973706e-06
0.8,1,psi_31,3,1,8.37619008962065e-05,7.016056041745919e-09
0.8,1,psi_13,1,3,-0.00144245196133852,2.0806676607693433e-06
0.8,1,psi_32,3,2,-0.00015826302114874125,2.504718386312692e-08
0.8,1,psi_41,4,1,-0.003699202323332429,1.368409782894804e-05
0.8,1,psi_23,2,3,-0.00019823526963591576,3.9297222127624223e-08
0.8,1,psi_42,4,2,-0.0004634212236851454,2.1475923056183755e-07
0.8,1,psi_33,3,3,-0.0006274463376030326,3.9368890657145875e-07
0.8,1,psi_14,1,4,-0.00038202013820409775,1.4593938599347794e-07
0.8,2,psi_11,1,1,-5.247446824796498e-05,2.7535698179066847e-09
0.8,2,psi_21,2,1,-0.9999607801437378,0.9999215618256727
0.8,2,psi_12,1,2,0.0005059183458797634,2.559533726977159e-07
0.8,2,psi_22,2,2,-0.004826009273529053,2.3290365508188415e-05
0.8,2,psi_31,3,1,0.00023735492140986025,5.633735871748094e-08
0.8,2,psi_13,1,3,-0.0014128872426226735,1.9962503603659015e-06
0.8,2,psi_32,3,2,-0.00039409910095855594,1.5531410137634206e-07
0.8,2,psi_41,4,1,-0.0003185173263773322,1.0145328720256397e-07
0.8,2,psi_23,2,3,-0.0001407163217663765,1.9801083211458403e-08
0.8,2,psi_42,4,2,-0.0006565082585439086,4.3100309353635553e-07
0.8,2,psi_33,3,3,0.0024732211604714394,6.116822908603693e-06
0.8,2,psi_14,1,4,0.00031717674573883414,1.0060108803747704e-07
0.8,3,psi_11,1,1,1.4159362763166428e-05,2.00487553858944e-10
0.8,3,psi_21,2,1,0.0004747094353660941,2.2534904802559588e-07
0.8,3,psi_12,1,2,0.9999579787254333,0.9999159592166542
0.8,3,psi_22,2,2,0.005482642445713282,3.0059368187536914e-05
0.8,3,psi_31,3,1,-6.642566586378962e-05,4.412369085447825e-09
