eta,pinn_rank,epsilon_PINN,ranked_exact_label,ranked_exact_nx,ranked_exact_ny,ranked_exact_epsilon,relative_error_percent_vs_ranked
0.8,1,25.311247,psi_11,1,1,25.29086127779148,0.08060458650597627
0.8,2,54.985928,psi_21,2,1,54.899674481059556,0.15711040464786535
0.8,3,71.6378,psi_12,1,2,71.55463190789784,0.11623316885012835
0.8,4,104.304794,psi_22,2,2,101.16344511116591,3.105221650869616
0.9,1,22.224995,psi_11,1,1,22.054301192557702,0.7739690565381744
0.9,2,52.0472,psi_21,2,1,51.66311439582578,0.7434411531969732
0.9,3,58.907555,psi_12,1,2,58.60839156696274,0.5104440703858919
0.9,4,88.84689,psi_22,2,2,88.21720477023081,0.7137933489914404
1.0,1,19.7694,psi_11,1,1,19.739208802178716,0.15294858607649786
1.0,2,49.424248,psi_12,1,2,49.34802200544679,0.15446563642208763
1.0,3,49.52572,psi_21,2,1,49.34802200544679,0.36008876606733486
1.0,4,79.07616,psi_22,2,2,78.95683520871486,0.15112232801714862
1.1,1,18.066383,psi_11,1,1,18.02630225322932,0.22234792263013664
1.1,2,42.623295,psi_12,1,2,42.496395809649215,0.2986112545672333
1.1,3,47.709904,psi_21,2,1,47.635115456497395,0.15700237068160447
1.1,4,83.33497,psi_22,2,2,72.10520901291729,15.574130784317525
1.2,1,16.773014,psi_11,1,1,16.723496346290304,0.2960967090126223
1.2,2,37.357265,psi_12,1,2,37.28517218189313,0.19335646397789522
1.2,3,46.40395,psi_21,2,1,46.332309549558374,0.15462252731827536
1.2,4,71.601395,psi_22,2,2,66.89398538516122,7.037118869588714
