rank,nx,ny,epsilon
1,1,1,19.739208802179
2,1,2,49.348022005447
3,2,1,49.348022005447
4,2,2,78.956835208715
5,1,3,98.696044010894
6,3,1,98.696044010894
7,2,3,128.304857214162
8,3,2,128.304857214162
9,1,4,167.783274818519
10,4,1,167.783274818519
11,3,3,177.652879219608
12,2,4,197.392088021787
13,4,2,197.392088021787
14,3,4,246.740110027234
15,4,3,246.740110027234
16,1,5,256.609714428323
17,5,1,256.609714428323
18,2,5,286.218527631591
19,5,2,286.218527631591
20,4,4,315.827340834859
21,3,5,335.566549637038
22,5,3,335.566549637038
23,4,5,404.653780444664
24,5,4,404.653780444664
25,5,5,493.480220054468
